id,title,abstract,authors,year,source,category,pdf_url,url,scrape_status,cleaned_text
1,Machine learning for microbiologists,"… how to evaluate a machine learning model and how … machine learning-based work. The
topics presented in this work will allow microbiologists to grasp the potential of machine learning …","F Asnicar, AM Thomas, A Passerini…",2024,Nature Reviews …,machine learning,https://pmc.ncbi.nlm.nih.gov/articles/PMC11980903/,https://www.nature.com/articles/s41579-023-00984-1,pdf_failed,machine learning for microbiologists how to evaluate machine learning model and how machine learningbased work the topics presented in this work will allow microbiologists to grasp the potential of machine learning
2,International conference on machine learning,"In this paper, we make the key delineation on the roles of resolution and statistical uncertainty
in hierarchical bandits-based black-box optimization algorithms, guiding a more general …","W Li, C Wang, G Cheng, Q Song",2023,Transactions on machine learning …,machine learning,https://par.nsf.gov/servlets/purl/10418406,https://par.nsf.gov/servlets/purl/10418406,pdf_failed,international conference on machine learning in this paper we make the key delineation on the roles of resolution and statistical uncertainty in hierarchical banditsbased blackbox optimization algorithms guiding more general
3,What is machine learning?,"… that one can employ in machine learning (ML). The required … of two learning types: supervised
or unsupervised learning. … skills through either automated learning or learning via human …",J Bell,2022,Machine learning and the city: applications in …,machine learning,,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119815075.ch18,no_pdf,what is machine learning that one can employ in machine learning ml the required of two learning types supervised or unsupervised learning skills through either automated learning or learning via human
4,Amnesiac machine learning,"… It gives EU residents the ability to request deletion of their personal data, including training
records used to train machine learning models. Unfortunately, Deep Neural Network models …","L Graves, V Nagisetty, V Ganesh",2021,… of the AAAI conference on artificial …,machine learning,https://ojs.aaai.org/index.php/AAAI/article/download/17371/17178,https://ojs.aaai.org/index.php/AAAI/article/view/17371,pdf_downloaded,amnesiac machine learning it gives eu residents the ability to request deletion of their personal data including training records used to train machine learning models unfortunately deep neural network models
5,Designing nanotheranostics with machine learning,"… As a key branch of artificial intelligence, machine learning (ML) provides a set of tools
capable of performing time-consuming and result-perception tasks, thus offering unique …","L Rao, Y Yuan, X Shen, G Yu, X Chen",2024,Nature Nanotechnology,machine learning,https://www.researchgate.net/profile/Xi-Shen-10/publication/384619655_Designing_nanotheranostics_with_machine_learning/links/6901c26a368b49329fa7e1bd/Designing-nanotheranostics-with-machine-learning.pdf,https://www.nature.com/articles/s41565-024-01753-8,pdf_failed,designing nanotheranostics with machine learning as key branch of artificial intelligence machine learning ml provides set of tools capable of performing timeconsuming and resultperception tasks thus offering unique
6,A guide to machine learning for biologists,"… A machine learning task is an objective specification for what we want a machine learning
model to accomplish. For example, for an experiment investigating the expression of genes …","JG Greener, SM Kandathil, L Moffat…",2022,Nature reviews Molecular …,machine learning,https://discovery.ucl.ac.uk/id/eprint/10134478/1/NRMCB-review-accepted-forRPS.pdf,https://www.nature.com/articles/s41580-021-00407-0,pdf_downloaded,guide to machine learning for biologists machine learning task is an objective specification for what we want machine learning model to accomplish for example for an experiment investigating the expression of genes
7,Machine learning and deep learning: C. Janiesch et al.,"… Deep learning is a machine learning concept based on … , deep learning models outperform
shallow machine learning … fundamentals of machine learning and deep learning to generate …","C Janiesch, P Zschech, K Heinrich",2021,Electronic markets,machine learning,https://link.springer.com/article/10.1007/s12525-021-00475-2,https://link.springer.com/article/10.1007/s12525-021-00475-2,pdf_failed,machine learning and deep learning janiesch et al deep learning is machine learning concept based on deep learning models outperform shallow machine learning fundamentals of machine learning and deep learning to generate
8,Machine learning foundations,"… knowledge about machine learning by exploring learning theories, … of machine learning
algorithms: the supervised, the unsupervised, the reinforced, and the semi-supervised learning. …",T Jo,2021,"Supervised, Unsupervised, and Advanced Learning …",machine learning,,https://link.springer.com/content/pdf/10.1007/978-3-030-65900-4.pdf,no_pdf,machine learning foundations knowledge about machine learning by exploring learning theories of machine learning algorithms the supervised the unsupervised the reinforced and the semisupervised learning
9,Financial machine learning,"… We survey the nascent literature on machine learning in the study of financial markets. We
… in grasping machine learning tools, as well as for statisticians and machine learners seeking …","B Kelly, D Xiu",2023,Foundations and Trends® in Finance,machine learning,https://www.emerald.com/ftfin/article/13/3-4/205/1324290,https://www.emerald.com/ftfin/article/13/3-4/205/1324290,pdf_failed,financial machine learning we survey the nascent literature on machine learning in the study of financial markets we in grasping machine learning tools as well as for statisticians and machine learners seeking
10,Open-environment machine learning,"… open learning or open ML for short. Note that the name ‘open-world machine learning’ was
used to refer to machine learning with unseen class [1] or outof-distribution (OOD) data [2]. In …",ZH Zhou,2022,National Science Review,machine learning,https://academic.oup.com/nsr/article-pdf/doi/10.1093/nsr/nwac123/45957092/nwac123.pdf,https://academic.oup.com/nsr/article-pdf/doi/10.1093/nsr/nwac123/45957092/nwac123.pdf,pdf_failed,openenvironment machine learning open learning or open ml for short note that the name openworld machine learning was used to refer to machine learning with unseen class or outofdistribution ood data in
