"No.","Query","Kategori Query","Rank","Article ID","Kategori Artikel","Judul Artikel","Abstrak","Similarity Score","Threshold Awal","Evaluator 1","Evaluator 2","Evaluator 3","Label Final","Status Final","Catatan Evaluator"
"1","machine learning","Machine Learning","1","3","machine learning","Penerapan Machine Learning, Deep Learning, Dan Data Mining Dalam Deteksi Kecurangan Laporan Keuangan-a Systematic Literature Review","… the application of machine learning, deep learning, and data … provides evidence that machine
learning, deep learning, and … New technologies such as machine learning, deep learning, …","0,474999","1","1","1","1","1","Relevan",""
"2","machine learning","Machine Learning","2","30","machine learning","Machine learning and deep learning: C. Janiesch et al.","… Deep learning is a machine learning concept based on … , deep learning models outperform
shallow machine learning … fundamentals of machine learning and deep learning to generate …","0,469477","1","1","1","1","1","Relevan",""
"3","machine learning","Machine Learning","3","13","machine learning","Penerapan Machine Learning Untuk Mengategorikan Sampah Plastik Rumah Tangga","… With the help of Machine Learning and Deep Learning, we … Machine learning dapat
diterapkan untuk mengolah data … Data yang tersimpan dalam Machine learning juga dapat …","0,445702","1","1","1","1","1","Relevan",""
"4","machine learning","Machine Learning","4","40","machine learning","An overview of machine learning classification techniques","… statistical learning and pattern recognition, machine learning now … between statistics and
machine learning is evident, with … core of machine learning lies the concept of self-learning, a …","0,431999","1","1","1","1","1","Relevan",""
"5","machine learning","Machine Learning","5","1","machine learning","Penerapan machine learning dalam prediksi tingkat kasus penyakit di Indonesia","… menjabarkan implementasi machine learning untuk memprediksi … kasus, pengaplikasian
machine learning dengan pemodelan ARIMA … Kemudian, implementasi machine learning untuk …","0,405156","1","1","1","1","1","Relevan",""
"6","machine learning","Machine Learning","6","23","machine learning","Penerapan Metode Machine Learning dalam Mengidentifikasi Berita Hoaks","… method using a machine learning approach on news data. … sources and applying machine
learning algorithms, including … The results of this research show that the machine learning …","0,384833","1","1","1","1","1","Relevan",""
"7","machine learning","Machine Learning","7","2","machine learning","Tinjauan Pustaka Sistematis: Penerapan Metode Machine Learning untuk Deteksi Bencana Banjir","… Machine Learning dapat mempelajari pola data historis yang ada, sehingga dengan
menggunakan metode machine learning … Hasil penelitian menunjukan bahwa Machine Learning …","0,382231","1","1","1","1","1","Relevan",""
"8","machine learning","Machine Learning","8","22","machine learning","Pemanfaatan machine learning di bidang kesehatan","… pesat, machine learning menjadi salah satu pendekatan penting dalam berbagai bidang,
termasuk kesehatan. Machine learning … untuk mengulas penerapan machine learning dalam …","0,371533","1","1","1","1","1","Relevan",""
"9","machine learning","Machine Learning","9","21","machine learning","Penerapan Teknologi Machine Learning dalam Deteksi Dini Penyakit Pada Tanaman Pangan","… This study aims to explore the application of machine learning … then analyzed using several
machine learning algorithms, such … The results show that the application of machine learning …","0,367296","1","1","1","1","1","Relevan",""
"10","machine learning","Machine Learning","10","38","machine learning","A survey on dataset quality in machine learning","… of dataset quality in machine learning, including the definition of … of machine learning,
which can help improve the accuracy, efficiency, and generalization ability of machine learning …","0,360741","1","1","1","1","1","Relevan",""
"11","machine learning","Machine Learning","11","33","machine learning","Using machine learning to detect misstatements","… Intuitively, a machine learning algorithm can be taught to … Machine learning algorithms
capture the relationship … We also examine a number of alternative machine learning approaches …","0,356879","1","1","1","1","1","Relevan",""
"12","machine learning","Machine Learning","12","26","machine learning","What is machine learning?","… that one can employ in machine learning (ML). The required … of two learning types: supervised
or unsupervised learning. … skills through either automated learning or learning via human …","0,337805","1","1","1","1","1","Relevan",""
"13","machine learning","Machine Learning","13","44","machine learning","Causality for machine learning","… for Machine Learning In spite of all recent successes, if we compare what machine learning
… This shortcoming is not too surprising since machine learning often disregards information …","0,334837","1","1","1","1","1","Relevan",""
"14","machine learning","Machine Learning","14","27","machine learning","Machine learning for microbiologists","… how to evaluate a machine learning model and how … machine learning-based work. The
topics presented in this work will allow microbiologists to grasp the potential of machine learning …","0,334422","1","1","1","1","1","Relevan",""
"15","machine learning","Machine Learning","15","42","machine learning","A survey of human-in-the-loop for machine learning","… posed by machine learning … machine learning. Human-in-the-loop is an area that we see
as increasingly important in future research due to the knowledge learned by machine learning …","0,329105","1","1","1","1","1","Relevan",""
"16","machine learning","Machine Learning","16","36","machine learning","Challenges in deploying machine learning: a survey of case studies","… This survey reviews published reports of deploying machine learning … of the machine
learning deployment workflow. By mapping found challenges to the steps of the machine learning …","0,321166","1","1","1","1","1","Relevan",""
"17","machine learning","Machine Learning","17","10","machine learning","Visualisasi Data dan Penerapan Machine Learning Menggunakan Decision Tree Untuk Keputusan Layanan Kesehatan COVID-19","… untuk penerapan Machine Learning di beberapa aplikasi dunia nyata di mana data dihasilkan
secara terus menerus [16]. Banyak metode Machine Learning … Machine Learning, kami …","0,320859","1","1","1","1","1","Relevan",""
"18","machine learning","Machine Learning","18","24","machine learning","Penerapan artificial intelligence, machine learning dan deep learning pada Kurikulum Akuntansi-A systematic literature review","… implementing artificial intelligence, machine learning and deep learning in accounting
curriculum … New technologies such as artificial intelligence, machine learning and deep learning …","0,320402","1","1","1","1","1","Relevan",""
"19","machine learning","Machine Learning","19","46","machine learning","Machine learning for biochemical engineering: A review","… use of machine learning within biochemical engineering over the last 20 years. The most
prevalent machine learning … Finally, core challenges into the application of machine learning in …","0,317257","1","1","1","1","1","Relevan",""
"20","machine learning","Machine Learning","20","31","machine learning","Financial machine learning","… We survey the nascent literature on machine learning in the study of financial markets. We
… in grasping machine learning tools, as well as for statisticians and machine learners seeking …","0,314739","1","1","1","1","1","Relevan",""
"21","pembelajaran mesin","Machine Learning","1","116","mobile application","Aplikasi pembelajaran ilmu tajwid berbasis mobile","… Tujuan dari penelitian ini adalah membuat aplikasi … Aplikasi pembelajaran ilmu tajwid
dirancang berdasarkan … Pengujian menggunakan metode black box testing menunjukan aplikasi …","0,348143","1","1","1","1","1","Relevan",""
"22","pembelajaran mesin","Machine Learning","2","153","web application","Penggunaan liveworksheet dengan aplikasi berbasis web untuk meningkatkan hasil belajar peserta didik","… Hasil dari penelitian ini adalah penggunaan liveworksheet dengan aplikasi berbasis web
dapat meningkatkan hasil belajar peserta yaitu pada prasiklus dengan ketutasan klasikal …","0,332741","1","1","1","1","1","Relevan",""
"23","pembelajaran mesin","Machine Learning","3","2","machine learning","Tinjauan Pustaka Sistematis: Penerapan Metode Machine Learning untuk Deteksi Bencana Banjir","… Machine Learning dapat mempelajari pola data historis yang ada, sehingga dengan
menggunakan metode machine learning … Hasil penelitian menunjukan bahwa Machine Learning …","0,201881","0","1","1","1","1","Relevan",""
"24","pembelajaran mesin","Machine Learning","4","14","machine learning","Penerapan Machine Learning dengan Algoritma Logistik Regresi untuk Memprediksi Diabetes","Diabetes merupakan masalah kesehatan global yang signifikan, mempengaruhi kualitas
hidup individu dan menimbulkan beban ekonomi dan sosial. Machine Learning (Pembelajaran …","0,174159","0","1","1","1","1","Relevan",""
"25","pembelajaran mesin","Machine Learning","5","151","web application","Pengenalan pemrograman web: Pembuatan aplikasi web sederhana dengan PHP dan MySQL","… dalam jurnal ini, kita akan mempelajari bagaimana membuat aplikasi website … dasar
pemrograman web, termasuk pengertian, jenis bahasa pemrograman web, dan arsitektur web. …","0,150081","0","0","1","0","0","Tidak Relevan",""
"26","data mining","Machine Learning","1","3","machine learning","Penerapan Machine Learning, Deep Learning, Dan Data Mining Dalam Deteksi Kecurangan Laporan Keuangan-a Systematic Literature Review","… the application of machine learning, deep learning, and data … provides evidence that machine
learning, deep learning, and … New technologies such as machine learning, deep learning, …","0,260862","0","1","0","1","1","Relevan",""
"27","data mining","Machine Learning","2","17","machine learning","Penerapan machine learning dengan algoritma support vector machine untuk prediksi kelembapan udara rata-rata","… Machine learning dapat digunakan untuk memprediksi suatu data. Support Vector Machine
merupakan bagian dari teknik data mining yang dipergunakan untuk mengidentifikasi dan …","0,245108","0","1","1","1","1","Relevan",""
"28","data mining","Machine Learning","3","6","machine learning","Penerapan Machine Learning dengan Konsep Data Mining Rough Set (Prediksi Tingkat Pemahaman Mahasiswa terhadap Matakuliah)","Metode Rough Set (RS) merupakan bagian dari machine learning yang menganalisis
ketidakpastian dataset yang digunakan untuk menentukan atribut objek penting (klasifikasi). …","0,199358","0","1","1","1","1","Relevan",""
"29","data mining","Machine Learning","4","60","cyber security","Sistem Keamanan Siber dan Kedaulatan Data di Indonesia dalam Perspektif Ekonomi Politik (Studi Kasus Perlindungan Data Pribadi)[Cyber Security System and …","… perlindungan data siber dan keamanan siber. Jaminan … digunakan dalam pembangunan
keamanan siber. Akan tetapi, … dalam pembangunan keamanan siber dan kedaulatan data …","0,13754","0","0","1","0","0","Tidak Relevan",""
