query,kategori,rank,article_id,title,similarity_score,relevan
machine learning,Machine Learning,1,40,Machine learning and deep learning: A review of methods and applications,0.623235808945845,
machine learning,Machine Learning,2,39,When machine learning meets privacy: A survey and outlook,0.609889351410075,
machine learning,Machine Learning,3,7,Machine learning and deep learning: C. Janiesch et al.,0.5993801897901321,
machine learning,Machine Learning,4,18,An overview of machine learning classification techniques,0.5984379693814694,
machine learning,Machine Learning,5,38,Scientific machine learning benchmarks,0.5633910765681233,
machine learning,Machine Learning,6,35,Financial applications of machine learning: A literature review,0.5581016676491677,
machine learning,Machine Learning,7,25,Machine learning in chemical engineering: A perspective,0.532694783676555,
machine learning,Machine Learning,8,8,Machine learning foundations,0.527485417333958,
machine learning,Machine Learning,9,23,Machine learning and applications in microbiology,0.5235023559266654,
machine learning,Machine Learning,10,11,Using machine learning to detect misstatements,0.5064764488629261,
deep learning,Machine Learning,1,40,Machine learning and deep learning: A review of methods and applications,0.7391029007441474,
deep learning,Machine Learning,2,7,Machine learning and deep learning: C. Janiesch et al.,0.7108122328076278,
deep learning,Machine Learning,3,43,Machine learning and deep learning applications-a vision,0.6892585977554605,
deep learning,Machine Learning,4,25,Machine learning in chemical engineering: A perspective,0.5153104189786353,
deep learning,Machine Learning,5,35,Financial applications of machine learning: A literature review,0.3401106329001344,
deep learning,Machine Learning,6,197,Human monkeypox classification from skin lesion images with deep pre-trained network using mobile application,0.3378871446609963,
deep learning,Machine Learning,7,181,A new mobile application of agricultural pests recognition using deep learning in cloud computing system,0.28127133192688086,
deep learning,Machine Learning,8,34,Machine learning at the network edge: A survey,0.2519055344270343,
deep learning,Machine Learning,9,18,An overview of machine learning classification techniques,0.23963084527018375,
deep learning,Machine Learning,10,3,What is machine learning?,0.23952131687366962,
web development,Web Development,1,54,Accessible web development: Opportunities to improve the education and practice of web development with a screen reader,0.516234492141231,
web development,Web Development,2,86,AI AND WEB DEVELOPMENT,0.5025393937897717,
web development,Web Development,3,70,The rise of disappearing frameworks in web development,0.48674055894285095,
web development,Web Development,4,59,Python for web development,0.45400797342809696,
web development,Web Development,5,71,Machine learning for web development: A fusion,0.42332769369334405,
