Query,Kategori Query,Rank,Article ID,Kategori Artikel,Judul,Penulis,Tahun,Source,Similarity Score,Threshold Relevan,Relevan Human Judgment,Occurrence,Interpretasi
machine learning,Machine Learning,1,3,machine learning,"Penerapan Machine Learning, Deep Learning, Dan Data Mining Dalam Deteksi Kecurangan Laporan Keuangan-a Systematic Literature Review","S Prasetyo, T Dewayanto",2024,Diponegoro Journal of Accounting,0.474999,Ya,Ya,12,Relevan Sedang
machine learning,Machine Learning,2,30,machine learning,Machine learning and deep learning: C. Janiesch et al.,"C Janiesch, P Zschech, K Heinrich",2021,Electronic markets,0.469477,Ya,Ya,12,Relevan Sedang
machine learning,Machine Learning,3,13,machine learning,Penerapan Machine Learning Untuk Mengategorikan Sampah Plastik Rumah Tangga,"H Hendri, L Hoki, V Agusman, D Aryanto",2021,Jurnal TIMES,0.445702,Ya,Ya,9,Relevan Sedang
machine learning,Machine Learning,4,40,machine learning,An overview of machine learning classification techniques,"AFAH Alnuaimi, THK Albaldawi",2024,BIO Web of Conferences,0.431999,Ya,Ya,10,Relevan Sedang
machine learning,Machine Learning,5,1,machine learning,Penerapan machine learning dalam prediksi tingkat kasus penyakit di Indonesia,"RG Wardhana, G Wang…",2023,Journal of Information …,0.405156,Ya,Ya,8,Relevan Sedang
machine learning,Machine Learning,6,23,machine learning,Penerapan Metode Machine Learning dalam Mengidentifikasi Berita Hoaks,"VA Saputra, SA Arnomo",2024,Computer Based Information …,0.384833,Ya,Ya,8,Relevan Sedang
machine learning,Machine Learning,7,2,machine learning,Tinjauan Pustaka Sistematis: Penerapan Metode Machine Learning untuk Deteksi Bencana Banjir,"IM Faiza, W Andriani",2022,Jurnal Minfo Polgan,0.382231,Ya,Ya,8,Relevan Sedang
machine learning,Machine Learning,8,22,machine learning,Pemanfaatan machine learning di bidang kesehatan,"I Akbar, F Supriadi, DI Junaedi",2025,JATI (Jurnal Mahasiswa Teknik …,0.371533,Ya,Ya,8,Relevan Sedang
machine learning,Machine Learning,9,21,machine learning,Penerapan Teknologi Machine Learning dalam Deteksi Dini Penyakit Pada Tanaman Pangan,F Putra,2024,Jurnal Kolaborasi Sains dan Ilmu Terapan,0.367296,Ya,Ya,8,Relevan Sedang
machine learning,Machine Learning,10,38,machine learning,A survey on dataset quality in machine learning,"Y Gong, G Liu, Y Xue, R Li, L Meng",2023,Information and Software Technology,0.360741,Ya,Ya,8,Relevan Sedang
machine learning,Machine Learning,11,33,machine learning,Using machine learning to detect misstatements,"J Bertomeu, E Cheynel, E Floyd, W Pan",2021,Review of Accounting Studies,0.356879,Ya,Ya,8,Relevan Sedang
machine learning,Machine Learning,12,26,machine learning,What is machine learning?,J Bell,2022,Machine learning and the city: applications in …,0.337805,Ya,Ya,8,Relevan Sedang
machine learning,Machine Learning,13,44,machine learning,Causality for machine learning,B Schölkopf,2022,Probabilistic and causal inference: The works of Judea …,0.334837,Ya,Ya,8,Relevan Sedang
machine learning,Machine Learning,14,27,machine learning,Machine learning for microbiologists,"F Asnicar, AM Thomas, A Passerini…",2024,Nature Reviews …,0.334422,Ya,Ya,8,Relevan Sedang
machine learning,Machine Learning,15,42,machine learning,A survey of human-in-the-loop for machine learning,"X Wu, L Xiao, Y Sun, J Zhang, T Ma, L He",2022,Future Generation Computer …,0.329105,Ya,Ya,8,Relevan Sedang
machine learning,Machine Learning,16,36,machine learning,Challenges in deploying machine learning: a survey of case studies,"A Paleyes, RG Urma, ND Lawrence",2022,ACM computing surveys,0.321166,Ya,Ya,8,Relevan Sedang
machine learning,Machine Learning,17,10,machine learning,Visualisasi Data dan Penerapan Machine Learning Menggunakan Decision Tree Untuk Keputusan Layanan Kesehatan COVID-19,"A Fahri, Y Ramdhani",2023,Jurnal Tekno Kompak,0.320859,Ya,Ya,8,Relevan Sedang
machine learning,Machine Learning,18,24,machine learning,"Penerapan artificial intelligence, machine learning dan deep learning pada Kurikulum Akuntansi-A systematic literature review","KA Purba, T Dewayanto",2023,Diponegoro Journal of Accounting,0.320402,Ya,Ya,9,Relevan Sedang
machine learning,Machine Learning,19,46,machine learning,Machine learning for biochemical engineering: A review,"M Mowbray, T Savage, C Wu, Z Song, BA Cho…",2021,Biochemical …,0.317257,Ya,Ya,8,Relevan Sedang
machine learning,Machine Learning,20,31,machine learning,Financial machine learning,"B Kelly, D Xiu",2023,Foundations and Trends® in Finance,0.314739,Ya,Ya,7,Relevan Sedang
pembelajaran mesin,Machine Learning,1,116,mobile application,Aplikasi pembelajaran ilmu tajwid berbasis mobile,"NL Anggreini, IP Putra",2022,Jurnal Informasi Dan Komputer,0.348143,Ya,Ya,2,Relevan Sedang
pembelajaran mesin,Machine Learning,2,153,web application,Penggunaan liveworksheet dengan aplikasi berbasis web untuk meningkatkan hasil belajar peserta didik,A Prabowo,2021,Jurnal Pendidikan Dan Teknologi Indonesia,0.332741,Ya,Ya,2,Relevan Sedang
pembelajaran mesin,Machine Learning,3,2,machine learning,Tinjauan Pustaka Sistematis: Penerapan Metode Machine Learning untuk Deteksi Bencana Banjir,"IM Faiza, W Andriani",2022,Jurnal Minfo Polgan,0.201881,Tidak,Tidak,1,Rendah
pembelajaran mesin,Machine Learning,4,14,machine learning,Penerapan Machine Learning dengan Algoritma Logistik Regresi untuk Memprediksi Diabetes,"A Pratama, AC Nurcahyo…",2023,Prosiding CORISINDO …,0.174159,Tidak,Tidak,1,Rendah
pembelajaran mesin,Machine Learning,5,151,web application,Pengenalan pemrograman web: Pembuatan aplikasi web sederhana dengan PHP dan MySQL,"IM Fried Sinlae, F Setiyansyah…",2024,Jurnal Siber Multi Disiplin,0.150081,Tidak,Tidak,1,Rendah
data mining,Machine Learning,1,3,machine learning,"Penerapan Machine Learning, Deep Learning, Dan Data Mining Dalam Deteksi Kecurangan Laporan Keuangan-a Systematic Literature Review","S Prasetyo, T Dewayanto",2024,Diponegoro Journal of Accounting,0.260862,Tidak,Tidak,3,Rendah
data mining,Machine Learning,2,17,machine learning,Penerapan machine learning dengan algoritma support vector machine untuk prediksi kelembapan udara rata-rata,"ID Sulistyowati, S Sunarno…",2024,Jurnal Sistem Informasi …,0.245108,Tidak,Tidak,3,Rendah
data mining,Machine Learning,3,6,machine learning,Penerapan Machine Learning dengan Konsep Data Mining Rough Set (Prediksi Tingkat Pemahaman Mahasiswa terhadap Matakuliah),"MR Raharjo, AP Windarto",2021,Jurnal Media Informatika Budidarma,0.199358,Tidak,Tidak,2,Rendah
data mining,Machine Learning,4,60,cyber security,Sistem Keamanan Siber dan Kedaulatan Data di Indonesia dalam Perspektif Ekonomi Politik (Studi Kasus Perlindungan Data Pribadi)[Cyber Security System and …,MP Aji,2023,Jurnal Politica Dinamika Masalah Politik Dalam Negeri …,0.13754,Tidak,Tidak,4,Rendah
data mining,Machine Learning,5,100,cyber security,Cyber risk and cybersecurity: a systematic review of data availability,"F Cremer, B Sheehan, M Fortmann…",2022,The Geneva papers …,0.107029,Tidak,Tidak,3,Rendah
data mining,Machine Learning,6,13,machine learning,Penerapan Machine Learning Untuk Mengategorikan Sampah Plastik Rumah Tangga,"H Hendri, L Hoki, V Agusman, D Aryanto",2021,Jurnal TIMES,0.099148,Tidak,Tidak,2,Rendah
data mining,Machine Learning,7,53,cyber security,Data privasi dan keamanan siber pada smart-city: Tinjauan literatur,DAS Ilhami,2022,"Jurnal Sains, Nalar, Dan Aplikasi Teknologi Informasi",0.083755,Tidak,Tidak,2,Rendah
data mining,Machine Learning,8,184,web application,iDEP web application for RNA-seq data analysis,X Ge,2021,Rna Bioinformatics,0.082166,Tidak,Tidak,2,Rendah
data mining,Machine Learning,9,10,machine learning,Visualisasi Data dan Penerapan Machine Learning Menggunakan Decision Tree Untuk Keputusan Layanan Kesehatan COVID-19,"A Fahri, Y Ramdhani",2023,Jurnal Tekno Kompak,0.079187,Tidak,Tidak,2,Rendah
data mining,Machine Learning,10,175,web application,Pengujian aplikasi berbasis web data SKA menggunakan metode Black Box Testing,"AS Lubis, MPA Ginting",2024,Cosmic Jurnal Teknik,0.069703,Tidak,Tidak,2,Rendah
data mining,Machine Learning,11,185,web application,MiBiOmics: an interactive web application for multi-omics data exploration and integration,"J Zoppi, JF Guillaume, M Neunlist, S Chaffron",2021,BMC bioinformatics,0.062942,Tidak,Tidak,2,Rendah
data mining,Machine Learning,12,23,machine learning,Penerapan Metode Machine Learning dalam Mengidentifikasi Berita Hoaks,"VA Saputra, SA Arnomo",2024,Computer Based Information …,0.047488,Tidak,Tidak,1,Rendah
data mining,Machine Learning,13,2,machine learning,Tinjauan Pustaka Sistematis: Penerapan Metode Machine Learning untuk Deteksi Bencana Banjir,"IM Faiza, W Andriani",2022,Jurnal Minfo Polgan,0.047167,Tidak,Tidak,1,Rendah
data mining,Machine Learning,14,47,machine learning,Machine learning: new ideas and tools in environmental science and engineering,"S Zhong, K Zhang, M Bagheri, JG Burken…",2021,… science & technology,0.046255,Tidak,Tidak,1,Rendah
data mining,Machine Learning,15,65,cyber security,Pentingnya Keamanan Siber Dalam Era Digital:: Tinjauan Global Dan Kondisi Di Indonesia,"D Budiyanto, M Mabruri",2025,Prosiding Seminar Nasional Sains …,0.045624,Tidak,Tidak,1,Rendah
data mining,Machine Learning,16,75,cyber security,Keamanan siber di masa depan: Tantangan dan teknologi yang dibutuhkan,"CD Alviani, AS Padi…",2024,… Seminar Nasional Amikom …,0.042435,Tidak,Tidak,1,Rendah
data mining,Machine Learning,17,7,machine learning,Penerapan Metode Machine Learning dalam Klasifikasi Risiko Kejadian Berat Badan Lahir Rendah di Indonesia,"PR Sihombing, IF Yuliati",2021,MATRIK: Jurnal …,0.041148,Tidak,Tidak,1,Rendah
data mining,Machine Learning,18,168,web application,Perancangan Sistem Aplikasi Pendataan Membership Gym Menggunakan Metode Unified Software Development Process (USDP) Berbasis Web,"IP Sari, F Alfarisi",2024,Hello World Jurnal Ilmu Komputer,0.04046,Tidak,Tidak,1,Rendah
data mining,Machine Learning,19,16,machine learning,Penerapan Machine Learning menggunakan algoritma C4. 5 berbasis PSO dalam Menganalisa Data Siswa Putus Sekolah,"A Surip, MA Pratama, I Ali…",2021,… For Educators And …,0.04025,Tidak,Tidak,1,Rendah
data mining,Machine Learning,20,80,cyber security,A systematic literature review on the cyber security,"Y Perwej, SQ Abbas, JP Dixit, N Akhtar…",2021,International Journal of …,0.037084,Tidak,Tidak,1,Rendah
web application,Web Application,1,197,web application,Open Lab: A web application for running and sharing online experiments,Y Shevchenko,2022,Behavior Research Methods,0.342091,Ya,Ya,7,Relevan Sedang
web application,Web Application,2,200,web application,A hybrid fuzzy rule-based multi-criteria framework for sustainable-security assessment of web application,"R Kumar, A Baz, H Alhakami, W Alhakami…",2021,Ain Shams Engineering …,0.339757,Ya,Ya,7,Relevan Sedang
web application,Web Application,3,181,web application,DeepCrop: Deep learning-based crop disease prediction with web application,"MM Islam, MAA Adil, MA Talukder…",2023,Journal of Agriculture …,0.315247,Ya,Ya,7,Relevan Sedang
web application,Web Application,4,177,web application,A survey on web application penetration testing,"EA Altulaihan, A Alismail, M Frikha",2023,Electronics,0.308729,Ya,Ya,6,Relevan Sedang
web application,Web Application,5,195,web application,ML-CKDP: Machine learning-based chronic kidney disease prediction with smart web application,"RK Halder, MN Uddin, MA Uddin, S Aryal…",2024,Journal of Pathology …,0.279111,Tidak,Tidak,6,Rendah
web application,Web Application,6,188,web application,Machine learning based diabetes prediction and development of smart web application,"N Ahmed, R Ahammed, MM Islam, MA Uddin…",2021,International Journal of …,0.270276,Tidak,Tidak,5,Rendah
web application,Web Application,7,193,web application,Securing web applications against XSS and SQLi attacks using a novel deep learning approach,"JR Tadhani, V Vekariya, V Sorathiya, S Alshathri…",2024,Scientific Reports,0.265202,Tidak,Tidak,7,Rendah
web application,Web Application,8,180,web application,BEST: a web application for comprehensive biomarker exploration on large-scale data in solid tumors,"Z Liu, L Liu, S Weng, H Xu, Z Xing, Y Ren, X Ge…",2023,Journal of Big Data,0.244648,Tidak,Tidak,6,Rendah
web application,Web Application,9,199,web application,From prompt injections to sql injection attacks: How protected is your llm-integrated web application?,"R Pedro, D Castro, P Carreira, N Santos",2023,arXiv preprint arXiv:2308.01990,0.236682,Tidak,Tidak,5,Rendah
web application,Web Application,10,178,web application,A comparative study of web application security parameters: Current trends and future directions,"J Shahid, MK Hameed, IT Javed, KN Qureshi, M Ali…",2022,Applied Sciences,0.230489,Tidak,Tidak,5,Rendah
web application,Web Application,11,191,web application,Signature-based and machine-learning-based web application firewalls: A short survey,"S Applebaum, T Gaber, A Ahmed",2021,Procedia Computer Science,0.222473,Tidak,Tidak,5,Rendah
web application,Web Application,12,134,mobile application,Deep learning methods for accurate skin cancer recognition and mobile application,"I Kousis, I Perikos, I Hatzilygeroudis, M Virvou",2022,Electronics,0.221074,Tidak,Tidak,4,Rendah
web application,Web Application,13,189,web application,A systematic literature review on the characteristics and effectiveness of web application vulnerability scanners,"S Alazmi, DC De Leon",2022,IEEe Access,0.219031,Tidak,Tidak,5,Rendah
web application,Web Application,14,194,web application,DeepVenn--a web application for the creation of area-proportional Venn diagrams using the deep learning framework Tensorflow. js,T Hulsen,2022,arXiv preprint arXiv:2210.04597,0.216169,Tidak,Tidak,6,Rendah
web application,Web Application,15,184,web application,iDEP web application for RNA-seq data analysis,X Ge,2021,Rna Bioinformatics,0.208756,Tidak,Tidak,4,Rendah
web application,Web Application,16,187,web application,Development of interactive biological web applications with R/Shiny,"L Jia, W Yao, Y Jiang, Y Li, Z Wang, H Li…",2022,Briefings in …,0.204546,Tidak,Tidak,6,Rendah
web application,Web Application,17,192,web application,Atomistica. online–web application for generating input files for ORCA molecular modelling package made with the Anvil platform,"S Armaković, SJ Armaković",2023,Molecular simulation,0.200848,Tidak,Tidak,5,Rendah
web application,Web Application,18,176,web application,Web application development with streamlit,"M Khorasani, M Abdou, JH Fernández",2022,Software Development,0.19208,Tidak,Tidak,4,Rendah
web application,Web Application,19,151,web application,Pengenalan pemrograman web: Pembuatan aplikasi web sederhana dengan PHP dan MySQL,"IM Fried Sinlae, F Setiyansyah…",2024,Jurnal Siber Multi Disiplin,0.189208,Tidak,Tidak,5,Rendah
web application,Web Application,20,141,mobile application,Towards a new learning experience through a mobile application with augmented reality in engineering education,"S Criollo-C, D Abad-Vásquez, M Martic-Nieto…",2021,Applied Sciences,0.189202,Tidak,Tidak,4,Rendah
aplikasi web,Web Application,1,167,web application,Implementasi Aplikasi Kasir Berbasis Web pada Toko Ghafya Fruits Shop,"DE Cahyono, A Jayanti",2022,Jurnal Ekonomi Dan Teknik …,0.339599,Ya,Ya,7,Relevan Sedang
aplikasi web,Web Application,2,155,web application,Analisis Keretanan Website Dengan Aplikasi Owasp Zap,"AF Hasibuan, D Handoko",2023,Jurnal Ilmu Komputer …,0.338959,Ya,Ya,7,Relevan Sedang
aplikasi web,Web Application,3,158,web application,Pengembangan Aplikasi Berbasis Web dan Android Sebagai Penunjang Kerja di Indonesia: Systematic Literature Review,T Wahyudi,2022,Indonesian Journal Computer Science,0.332195,Ya,Ya,7,Relevan Sedang
aplikasi web,Web Application,4,157,web application,Rancang bangun aplikasi penjualan online berbasis web menggunakan metode scrum,"A Andipradana, KD Hartomo",2021,Jurnal Algoritma,0.323811,Ya,Ya,6,Relevan Sedang
aplikasi web,Web Application,5,164,web application,Penerapan Metode Waterfall Pada Aplikasi Reservasi Lapangan Futsal Berbasis Web,"T Ardiansah, D Hidayatullah",2023,Journal of …,0.32246,Ya,Ya,7,Relevan Sedang
aplikasi web,Web Application,6,171,web application,Digitalisasi Usaha Mikro Kecil Dan Menengah Di Desa Melalui Aplikasi Kede Desa Berbasis Web,"J Hendrawan, ID Perwitasari…",2023,JSR: Jaringan …,0.311815,Ya,Ya,7,Relevan Sedang
aplikasi web,Web Application,7,151,web application,Pengenalan pemrograman web: Pembuatan aplikasi web sederhana dengan PHP dan MySQL,"IM Fried Sinlae, F Setiyansyah…",2024,Jurnal Siber Multi Disiplin,0.285943,Tidak,Tidak,7,Rendah
