id,title,full_text,cleaned,tokens,tokens_clean,tokens_stemmed,cleaned_text,updated_at
1,What is machine learning?,"What is machine learning? … that one can employ in machine learning (ML). The required … of two learning types: supervised
or unsupervised learning. … skills through either automated learning or learning via human … J Bell Machine learning and the city: applications in … 2022 https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119815075.ch18 2026-07-11T12:02:19.261489+00:00 metadata_only  machine learning 10.1002/9781119815075.ch18  closed_access",what is machine learning that one can employ in machine learning ml the required of two learning types supervised or unsupervised learning skills through either automated learning or learning via human j bell machine learning and the city applications in 2022 2026 07 11t12 02 19 261489 00 00 metadata only machine learning 10 1002 9781119815075 ch18 closed access,"['what', 'is', 'machine', 'learning', 'that', 'one', 'can', 'employ', 'in', 'machine', 'learning', 'ml', 'the', 'required', 'of', 'two', 'learning', 'types', 'supervised', 'or', 'unsupervised', 'learning', 'skills', 'through', 'either', 'automated', 'learning', 'or', 'learning', 'via', 'human', 'j', 'bell', 'machine', 'learning', 'and', 'the', 'city', 'applications', 'in', '2022', '2026', '07', '11t12', '02', '19', '261489', '00', '00', 'metadata', 'only', 'machine', 'learning', '10', '1002', '9781119815075', 'ch18', 'closed', 'access']","['what', 'machine', 'learning', 'one', 'can', 'employ', 'machine', 'learning', 'ml', 'required', 'two', 'learning', 'types', 'supervised', 'unsupervised', 'learning', 'skills', 'through', 'either', 'automated', 'learning', 'learning', 'via', 'human', 'bell', 'machine', 'learning', 'city', 'applications', '2022', '2026', '07', '11t12', '02', '19', '261489', '00', '00', 'metadata', 'only', 'machine', 'learning', '10', '1002', '9781119815075', 'ch18', 'closed', 'access']","['what', 'machine', 'learning', 'one', 'can', 'employ', 'machine', 'learning', 'ml', 'required', 'two', 'learning', 'types', 'supervised', 'unsupervised', 'learning', 'skills', 'through', 'either', 'automated', 'learning', 'learning', 'via', 'human', 'bell', 'machine', 'learning', 'city', 'applications', '2022', '2026', '07', '11t12', '02', '19', '261489', '00', '00', 'metadata', 'only', 'machine', 'learning', '10', '1002', '9781119815075', 'ch18', 'closed', 'access']",what machine learning one can employ machine learning ml required two learning types supervised unsupervised learning skills through either automated learning learning via human bell machine learning city applications 2022 2026 07 11t12 02 19 261489 00 00 metadata only machine learning 10 1002 9781119815075 ch18 closed access,2026-07-11T16:46:23.070865+00:00
2,Machine learning for microbiologists,"Machine learning for microbiologists … how to evaluate a machine learning model and how … machine learning-based work. The
topics presented in this work will allow microbiologists to grasp the potential of machine learning … F Asnicar, AM Thomas, A Passerini… Nature Reviews … 2024 https://www.nature.com/articles/s41579-023-00984-1 2026-07-11T12:02:43.52782+00:00 metadata_only https://www.nature.com/articles/s41579-023-00984-1.pdf machine learning 10.1038/s41579-023-00984-1  closed_access",machine learning for microbiologists how to evaluate a machine learning model and how machine learning based work the topics presented in this work will allow microbiologists to grasp the potential of machine learning f asnicar am thomas a passerini nature reviews 2024 2026 07 11t12 02 43 52782 00 00 metadata only machine learning 10 1038 s41579 023 00984 1 closed access,"['machine', 'learning', 'for', 'microbiologists', 'how', 'to', 'evaluate', 'a', 'machine', 'learning', 'model', 'and', 'how', 'machine', 'learning', 'based', 'work', 'the', 'topics', 'presented', 'in', 'this', 'work', 'will', 'allow', 'microbiologists', 'to', 'grasp', 'the', 'potential', 'of', 'machine', 'learning', 'f', 'asnicar', 'am', 'thomas', 'a', 'passerini', 'nature', 'reviews', '2024', '2026', '07', '11t12', '02', '43', '52782', '00', '00', 'metadata', 'only', 'machine', 'learning', '10', '1038', 's41579', '023', '00984', '1', 'closed', 'access']","['machine', 'learning', 'microbiologists', 'how', 'evaluate', 'machine', 'learning', 'model', 'how', 'machine', 'learning', 'based', 'work', 'topics', 'presented', 'work', 'will', 'allow', 'microbiologists', 'grasp', 'potential', 'machine', 'learning', 'asnicar', 'am', 'thomas', 'passerini', 'nature', 'reviews', '2024', '2026', '07', '11t12', '02', '43', '52782', '00', '00', 'metadata', 'only', 'machine', 'learning', '10', '1038', 's41579', '023', '00984', 'closed', 'access']","['machine', 'learning', 'microbiologists', 'how', 'evaluate', 'machine', 'learning', 'model', 'how', 'machine', 'learning', 'based', 'work', 'topics', 'presented', 'work', 'will', 'allow', 'microbiologists', 'grasp', 'potential', 'machine', 'learning', 'asnicar', 'am', 'thomas', 'passerini', 'nature', 'reviews', '2024', '2026', '07', '11t12', '02', '43', '52782', '00', '00', 'metadata', 'only', 'machine', 'learning', '10', '1038', 's41579', '023', '00984', 'closed', 'access']",machine learning microbiologists how evaluate machine learning model how machine learning based work topics presented work will allow microbiologists grasp potential machine learning asnicar am thomas passerini nature reviews 2024 2026 07 11t12 02 43 52782 00 00 metadata only machine learning 10 1038 s41579 023 00984 closed access,2026-07-11T16:46:23.070865+00:00
3,Amnesiac machine learning,"Amnesiac machine learning … It gives EU residents the ability to request deletion of their personal data, including training
records used to train machine learning models. Unfortunately, Deep Neural Network models … L Graves, V Nagisetty, V Ganesh … of the AAAI conference on artificial … 2021 https://ojs.aaai.org/index.php/AAAI/article/view/17371 2026-07-11T12:03:04.060467+00:00 pdf_downloaded https://ojs.aaai.org/index.php/AAAI/article/download/17371/17178 machine learning 10.1609/aaai.v35i13.17371  open_access",amnesiac machine learning it gives eu residents the ability to request deletion of their personal data including training records used to train machine learning models unfortunately deep neural network models l graves v nagisetty v ganesh of the aaai conference on artificial 2021 2026 07 11t12 03 04 060467 00 00 pdf downloaded machine learning 10 1609 aaai v35i13 17371 open access,"['amnesiac', 'machine', 'learning', 'it', 'gives', 'eu', 'residents', 'the', 'ability', 'to', 'request', 'deletion', 'of', 'their', 'personal', 'data', 'including', 'training', 'records', 'used', 'to', 'train', 'machine', 'learning', 'models', 'unfortunately', 'deep', 'neural', 'network', 'models', 'l', 'graves', 'v', 'nagisetty', 'v', 'ganesh', 'of', 'the', 'aaai', 'conference', 'on', 'artificial', '2021', '2026', '07', '11t12', '03', '04', '060467', '00', '00', 'pdf', 'downloaded', 'machine', 'learning', '10', '1609', 'aaai', 'v35i13', '17371', 'open', 'access']","['amnesiac', 'machine', 'learning', 'gives', 'eu', 'residents', 'ability', 'request', 'deletion', 'their', 'personal', 'data', 'including', 'training', 'records', 'used', 'train', 'machine', 'learning', 'models', 'unfortunately', 'deep', 'neural', 'network', 'models', 'graves', 'nagisetty', 'ganesh', 'aaai', 'conference', 'artificial', '2021', '2026', '07', '11t12', '03', '04', '060467', '00', '00', 'pdf', 'downloaded', 'machine', 'learning', '10', '1609', 'aaai', 'v35i13', '17371', 'open', 'access']","['amnesiac', 'machine', 'learning', 'gives', 'eu', 'residents', 'ability', 'request', 'deletion', 'their', 'personal', 'data', 'including', 'training', 'records', 'used', 'train', 'machine', 'learning', 'models', 'unfortunately', 'deep', 'neural', 'network', 'models', 'graves', 'nagisetty', 'ganesh', 'aaai', 'conference', 'artificial', '2021', '2026', '07', '11t12', '03', '04', '060467', '00', '00', 'pdf', 'downloaded', 'machine', 'learning', '10', '1609', 'aaai', 'v35i13', '17371', 'open', 'access']",amnesiac machine learning gives eu residents ability request deletion their personal data including training records used train machine learning models unfortunately deep neural network models graves nagisetty ganesh aaai conference artificial 2021 2026 07 11t12 03 04 060467 00 00 pdf downloaded machine learning 10 1609 aaai v35i13 17371 open access,2026-07-11T16:46:23.070865+00:00
4,Designing nanotheranostics with machine learning,"Designing nanotheranostics with machine learning … As a key branch of artificial intelligence, machine learning (ML) provides a set of tools
capable of performing time-consuming and result-perception tasks, thus offering unique … L Rao, Y Yuan, X Shen, G Yu, X Chen Nature Nanotechnology 2024 https://www.nature.com/articles/s41565-024-01753-8 2026-07-11T12:03:17.265274+00:00 metadata_only https://www.nature.com/articles/s41565-024-01753-8.pdf machine learning 10.1038/s41565-024-01753-8  closed_access",designing nanotheranostics with machine learning as a key branch of artificial intelligence machine learning ml provides a set of tools capable of performing time consuming and result perception tasks thus offering unique l rao y yuan x shen g yu x chen nature nanotechnology 2024 2026 07 11t12 03 17 265274 00 00 metadata only machine learning 10 1038 s41565 024 01753 8 closed access,"['designing', 'nanotheranostics', 'with', 'machine', 'learning', 'as', 'a', 'key', 'branch', 'of', 'artificial', 'intelligence', 'machine', 'learning', 'ml', 'provides', 'a', 'set', 'of', 'tools', 'capable', 'of', 'performing', 'time', 'consuming', 'and', 'result', 'perception', 'tasks', 'thus', 'offering', 'unique', 'l', 'rao', 'y', 'yuan', 'x', 'shen', 'g', 'yu', 'x', 'chen', 'nature', 'nanotechnology', '2024', '2026', '07', '11t12', '03', '17', '265274', '00', '00', 'metadata', 'only', 'machine', 'learning', '10', '1038', 's41565', '024', '01753', '8', 'closed', 'access']","['designing', 'nanotheranostics', 'machine', 'learning', 'key', 'branch', 'artificial', 'intelligence', 'machine', 'learning', 'ml', 'provides', 'set', 'tools', 'capable', 'performing', 'time', 'consuming', 'result', 'perception', 'tasks', 'thus', 'offering', 'unique', 'rao', 'yuan', 'shen', 'yu', 'chen', 'nature', 'nanotechnology', '2024', '2026', '07', '11t12', '03', '17', '265274', '00', '00', 'metadata', 'only', 'machine', 'learning', '10', '1038', 's41565', '024', '01753', 'closed', 'access']","['designing', 'nanotheranostics', 'machine', 'learning', 'key', 'branch', 'artificial', 'intelligence', 'machine', 'learning', 'ml', 'provides', 'set', 'tools', 'capable', 'performing', 'time', 'consuming', 'result', 'perception', 'tasks', 'thus', 'offering', 'unique', 'rao', 'yuan', 'shen', 'yu', 'chen', 'nature', 'nanotechnology', '2024', '2026', '07', '11t12', '03', '17', '265274', '00', '00', 'metadata', 'only', 'machine', 'learning', '10', '1038', 's41565', '024', '01753', 'closed', 'access']",designing nanotheranostics machine learning key branch artificial intelligence machine learning ml provides set tools capable performing time consuming result perception tasks thus offering unique rao yuan shen yu chen nature nanotechnology 2024 2026 07 11t12 03 17 265274 00 00 metadata only machine learning 10 1038 s41565 024 01753 closed access,2026-07-11T16:46:23.070865+00:00
5,A guide to machine learning for biologists,"A guide to machine learning for biologists … A machine learning task is an objective specification for what we want a machine learning
model to accomplish. For example, for an experiment investigating the expression of genes … JG Greener, SM Kandathil, L Moffat… Nature reviews Molecular … 2022 https://www.nature.com/articles/s41580-021-00407-0 2026-07-11T12:03:31.911043+00:00 metadata_only https://www.nature.com/articles/s41580-021-00407-0.pdf machine learning 10.1038/s41580-021-00407-0  closed_access",a guide to machine learning for biologists a machine learning task is an objective specification for what we want a machine learning model to accomplish for example for an experiment investigating the expression of genes jg greener sm kandathil l moffat nature reviews molecular 2022 2026 07 11t12 03 31 911043 00 00 metadata only machine learning 10 1038 s41580 021 00407 0 closed access,"['a', 'guide', 'to', 'machine', 'learning', 'for', 'biologists', 'a', 'machine', 'learning', 'task', 'is', 'an', 'objective', 'specification', 'for', 'what', 'we', 'want', 'a', 'machine', 'learning', 'model', 'to', 'accomplish', 'for', 'example', 'for', 'an', 'experiment', 'investigating', 'the', 'expression', 'of', 'genes', 'jg', 'greener', 'sm', 'kandathil', 'l', 'moffat', 'nature', 'reviews', 'molecular', '2022', '2026', '07', '11t12', '03', '31', '911043', '00', '00', 'metadata', 'only', 'machine', 'learning', '10', '1038', 's41580', '021', '00407', '0', 'closed', 'access']","['guide', 'machine', 'learning', 'biologists', 'machine', 'learning', 'task', 'objective', 'specification', 'what', 'we', 'want', 'machine', 'learning', 'model', 'accomplish', 'example', 'experiment', 'investigating', 'expression', 'genes', 'jg', 'greener', 'sm', 'kandathil', 'moffat', 'nature', 'reviews', 'molecular', '2022', '2026', '07', '11t12', '03', '31', '911043', '00', '00', 'metadata', 'only', 'machine', 'learning', '10', '1038', 's41580', '021', '00407', 'closed', 'access']","['guide', 'machine', 'learning', 'biologists', 'machine', 'learning', 'task', 'objective', 'specification', 'what', 'we', 'want', 'machine', 'learning', 'model', 'accomplish', 'example', 'experiment', 'investigating', 'expression', 'genes', 'jg', 'greener', 'sm', 'kandathil', 'moffat', 'nature', 'reviews', 'molecular', '2022', '2026', '07', '11t12', '03', '31', '911043', '00', '00', 'metadata', 'only', 'machine', 'learning', '10', '1038', 's41580', '021', '00407', 'closed', 'access']",guide machine learning biologists machine learning task objective specification what we want machine learning model accomplish example experiment investigating expression genes jg greener sm kandathil moffat nature reviews molecular 2022 2026 07 11t12 03 31 911043 00 00 metadata only machine learning 10 1038 s41580 021 00407 closed access,2026-07-11T16:46:23.070865+00:00
6,Machine learning and deep learning: C. Janiesch et al.,"Machine learning and deep learning: C. Janiesch et al. … Deep learning is a machine learning concept based on … , deep learning models outperform
shallow machine learning … fundamentals of machine learning and deep learning to generate … C Janiesch, P Zschech, K Heinrich Electronic markets 2021 https://link.springer.com/article/10.1007/s12525-021-00475-2 2026-07-11T12:03:44.503151+00:00 pdf_downloaded https://link.springer.com/content/pdf/10.1007/s12525-021-00475-2.pdf machine learning 10.1007/s12525-021-00475-2 10.1007/s12525-021-00475-2 open_access",machine learning and deep learning c janiesch et al deep learning is a machine learning concept based on deep learning models outperform shallow machine learning fundamentals of machine learning and deep learning to generate c janiesch p zschech k heinrich electronic markets 2021 2026 07 11t12 03 44 503151 00 00 pdf downloaded machine learning 10 1007 s12525 021 00475 2 10 1007 s12525 021 00475 2 open access,"['machine', 'learning', 'and', 'deep', 'learning', 'c', 'janiesch', 'et', 'al', 'deep', 'learning', 'is', 'a', 'machine', 'learning', 'concept', 'based', 'on', 'deep', 'learning', 'models', 'outperform', 'shallow', 'machine', 'learning', 'fundamentals', 'of', 'machine', 'learning', 'and', 'deep', 'learning', 'to', 'generate', 'c', 'janiesch', 'p', 'zschech', 'k', 'heinrich', 'electronic', 'markets', '2021', '2026', '07', '11t12', '03', '44', '503151', '00', '00', 'pdf', 'downloaded', 'machine', 'learning', '10', '1007', 's12525', '021', '00475', '2', '10', '1007', 's12525', '021', '00475', '2', 'open', 'access']","['machine', 'learning', 'deep', 'learning', 'janiesch', 'et', 'al', 'deep', 'learning', 'machine', 'learning', 'concept', 'based', 'deep', 'learning', 'models', 'outperform', 'shallow', 'machine', 'learning', 'fundamentals', 'machine', 'learning', 'deep', 'learning', 'generate', 'janiesch', 'zschech', 'heinrich', 'electronic', 'markets', '2021', '2026', '07', '11t12', '03', '44', '503151', '00', '00', 'pdf', 'downloaded', 'machine', 'learning', '10', '1007', 's12525', '021', '00475', '10', '1007', 's12525', '021', '00475', 'open', 'access']","['machine', 'learning', 'deep', 'learning', 'janiesch', 'et', 'al', 'deep', 'learning', 'machine', 'learning', 'concept', 'based', 'deep', 'learning', 'models', 'outperform', 'shallow', 'machine', 'learning', 'fundamentals', 'machine', 'learning', 'deep', 'learning', 'generate', 'janiesch', 'zschech', 'heinrich', 'electronic', 'markets', '2021', '2026', '07', '11t12', '03', '44', '503151', '00', '00', 'pdf', 'downloaded', 'machine', 'learning', '10', '1007', 's12525', '021', '00475', '10', '1007', 's12525', '021', '00475', 'open', 'access']",machine learning deep learning janiesch et al deep learning machine learning concept based deep learning models outperform shallow machine learning fundamentals machine learning deep learning generate janiesch zschech heinrich electronic markets 2021 2026 07 11t12 03 44 503151 00 00 pdf downloaded machine learning 10 1007 s12525 021 00475 10 1007 s12525 021 00475 open access,2026-07-11T16:46:23.070865+00:00
7,Financial machine learning,"Financial machine learning … We survey the nascent literature on machine learning in the study of financial markets. We
… in grasping machine learning tools, as well as for statisticians and machine learners seeking … B Kelly, D Xiu Foundations and Trends® in Finance 2023 https://www.emerald.com/ftfin/article/13/3-4/205/1324290 2026-07-11T12:04:40.497422+00:00 pdf_downloaded https://www.nber.org/system/files/working_papers/w31502/w31502.pdf machine learning 10.1561/500000064  open_access",financial machine learning we survey the nascent literature on machine learning in the study of financial markets we in grasping machine learning tools as well as for statisticians and machine learners seeking b kelly d xiu foundations and trends in finance 2023 2026 07 11t12 04 40 497422 00 00 pdf downloaded machine learning 10 1561 500000064 open access,"['financial', 'machine', 'learning', 'we', 'survey', 'the', 'nascent', 'literature', 'on', 'machine', 'learning', 'in', 'the', 'study', 'of', 'financial', 'markets', 'we', 'in', 'grasping', 'machine', 'learning', 'tools', 'as', 'well', 'as', 'for', 'statisticians', 'and', 'machine', 'learners', 'seeking', 'b', 'kelly', 'd', 'xiu', 'foundations', 'and', 'trends', 'in', 'finance', '2023', '2026', '07', '11t12', '04', '40', '497422', '00', '00', 'pdf', 'downloaded', 'machine', 'learning', '10', '1561', '500000064', 'open', 'access']","['financial', 'machine', 'learning', 'we', 'survey', 'nascent', 'literature', 'machine', 'learning', 'study', 'financial', 'markets', 'we', 'grasping', 'machine', 'learning', 'tools', 'well', 'statisticians', 'machine', 'learners', 'seeking', 'kelly', 'xiu', 'foundations', 'trends', 'finance', '2023', '2026', '07', '11t12', '04', '40', '497422', '00', '00', 'pdf', 'downloaded', 'machine', 'learning', '10', '1561', '500000064', 'open', 'access']","['financial', 'machine', 'learning', 'we', 'survey', 'nascent', 'literature', 'machine', 'learning', 'study', 'financial', 'markets', 'we', 'grasping', 'machine', 'learning', 'tools', 'well', 'statisticians', 'machine', 'learners', 'seeking', 'kelly', 'xiu', 'foundations', 'trends', 'finance', '2023', '2026', '07', '11t12', '04', '40', '497422', '00', '00', 'pdf', 'downloaded', 'machine', 'learning', '10', '1561', '500000064', 'open', 'access']",financial machine learning we survey nascent literature machine learning study financial markets we grasping machine learning tools well statisticians machine learners seeking kelly xiu foundations trends finance 2023 2026 07 11t12 04 40 497422 00 00 pdf downloaded machine learning 10 1561 500000064 open access,2026-07-11T16:46:23.070865+00:00
8,Open-environment machine learning,"Open-environment machine learning … open learning or open ML for short. Note that the name ‘open-world machine learning’ was
used to refer to machine learning with unseen class [1] or outof-distribution (OOD) data [2]. In … ZH Zhou National Science Review 2022 https://academic.oup.com/nsr/article-pdf/doi/10.1093/nsr/nwac123/45957092/nwac123.pdf 2026-07-11T12:04:43.918574+00:00 metadata_only https://doi.org/10.1093/nsr/nwac123/45957092/nwac123.pdf machine learning 10.1093/nsr/nwac123/45957092/nwac123.pdf  closed_access",open environment machine learning open learning or open ml for short note that the name open world machine learning was used to refer to machine learning with unseen class 1 or outof distribution ood data 2 in zh zhou national science review 2022 2026 07 11t12 04 43 918574 00 00 metadata only machine learning 10 1093 nsr nwac123 45957092 nwac123 pdf closed access,"['open', 'environment', 'machine', 'learning', 'open', 'learning', 'or', 'open', 'ml', 'for', 'short', 'note', 'that', 'the', 'name', 'open', 'world', 'machine', 'learning', 'was', 'used', 'to', 'refer', 'to', 'machine', 'learning', 'with', 'unseen', 'class', '1', 'or', 'outof', 'distribution', 'ood', 'data', '2', 'in', 'zh', 'zhou', 'national', 'science', 'review', '2022', '2026', '07', '11t12', '04', '43', '918574', '00', '00', 'metadata', 'only', 'machine', 'learning', '10', '1093', 'nsr', 'nwac123', '45957092', 'nwac123', 'pdf', 'closed', 'access']","['open', 'environment', 'machine', 'learning', 'open', 'learning', 'open', 'ml', 'short', 'note', 'name', 'open', 'world', 'machine', 'learning', 'used', 'refer', 'machine', 'learning', 'unseen', 'class', 'outof', 'distribution', 'ood', 'data', 'zh', 'zhou', 'national', 'science', 'review', '2022', '2026', '07', '11t12', '04', '43', '918574', '00', '00', 'metadata', 'only', 'machine', 'learning', '10', '1093', 'nsr', 'nwac123', '45957092', 'nwac123', 'pdf', 'closed', 'access']","['open', 'environment', 'machine', 'learning', 'open', 'learning', 'open', 'ml', 'short', 'note', 'name', 'open', 'world', 'machine', 'learning', 'used', 'refer', 'machine', 'learning', 'unseen', 'class', 'outof', 'distribution', 'ood', 'data', 'zh', 'zhou', 'national', 'science', 'review', '2022', '2026', '07', '11t12', '04', '43', '918574', '00', '00', 'metadata', 'only', 'machine', 'learning', '10', '1093', 'nsr', 'nwac123', '45957092', 'nwac123', 'pdf', 'closed', 'access']",open environment machine learning open learning open ml short note name open world machine learning used refer machine learning unseen class outof distribution ood data zh zhou national science review 2022 2026 07 11t12 04 43 918574 00 00 metadata only machine learning 10 1093 nsr nwac123 45957092 nwac123 pdf closed access,2026-07-11T16:46:23.070865+00:00
9,Using machine learning to detect misstatements,"Using machine learning to detect misstatements … Intuitively, a machine learning algorithm can be taught to … Machine learning algorithms
capture the relationship … We also examine a number of alternative machine learning approaches … J Bertomeu, E Cheynel, E Floyd, W Pan Review of Accounting Studies 2021 https://link.springer.com/article/10.1007/s11142-020-09563-8 2026-07-11T12:05:00.078544+00:00 metadata_only https://link.springer.com/content/pdf/10.1007/s11142-020-09563-8.pdf machine learning 10.1007/s11142-020-09563-8  closed_access",using machine learning to detect misstatements intuitively a machine learning algorithm can be taught to machine learning algorithms capture the relationship we also examine a number of alternative machine learning approaches j bertomeu e cheynel e floyd w pan review of accounting studies 2021 2026 07 11t12 05 00 078544 00 00 metadata only machine learning 10 1007 s11142 020 09563 8 closed access,"['using', 'machine', 'learning', 'to', 'detect', 'misstatements', 'intuitively', 'a', 'machine', 'learning', 'algorithm', 'can', 'be', 'taught', 'to', 'machine', 'learning', 'algorithms', 'capture', 'the', 'relationship', 'we', 'also', 'examine', 'a', 'number', 'of', 'alternative', 'machine', 'learning', 'approaches', 'j', 'bertomeu', 'e', 'cheynel', 'e', 'floyd', 'w', 'pan', 'review', 'of', 'accounting', 'studies', '2021', '2026', '07', '11t12', '05', '00', '078544', '00', '00', 'metadata', 'only', 'machine', 'learning', '10', '1007', 's11142', '020', '09563', '8', 'closed', 'access']","['using', 'machine', 'learning', 'detect', 'misstatements', 'intuitively', 'machine', 'learning', 'algorithm', 'can', 'taught', 'machine', 'learning', 'algorithms', 'capture', 'relationship', 'we', 'also', 'examine', 'number', 'alternative', 'machine', 'learning', 'approaches', 'bertomeu', 'cheynel', 'floyd', 'pan', 'review', 'accounting', 'studies', '2021', '2026', '07', '11t12', '05', '00', '078544', '00', '00', 'metadata', 'only', 'machine', 'learning', '10', '1007', 's11142', '020', '09563', 'closed', 'access']","['using', 'machine', 'learning', 'detect', 'misstatements', 'intuitively', 'machine', 'learning', 'algorithm', 'can', 'taught', 'machine', 'learning', 'algorithms', 'capture', 'relationship', 'we', 'also', 'examine', 'number', 'alternative', 'machine', 'learning', 'approaches', 'bertomeu', 'cheynel', 'floyd', 'pan', 'review', 'accounting', 'studies', '2021', '2026', '07', '11t12', '05', '00', '078544', '00', '00', 'metadata', 'only', 'machine', 'learning', '10', '1007', 's11142', '020', '09563', 'closed', 'access']",using machine learning detect misstatements intuitively machine learning algorithm can taught machine learning algorithms capture relationship we also examine number alternative machine learning approaches bertomeu cheynel floyd pan review accounting studies 2021 2026 07 11t12 05 00 078544 00 00 metadata only machine learning 10 1007 s11142 020 09563 closed access,2026-07-11T16:46:23.070865+00:00
10,A survey on the explainability of supervised machine learning,"A survey on the explainability of supervised machine learning … In the following sections, we structure the area of explainable supervised machine learning.
First, we describe the problem definitions and dimensions. Next, we introduce interpretable … N Burkart, MF Huber Journal of Artificial Intelligence Research 2021 https://www.jair.org/index.php/jair/article/view/12228 2026-07-11T12:05:22.351516+00:00 pdf_downloaded https://jair.org/index.php/jair/article/download/12228/26647 machine learning 10.1613/jair.1.12228  open_access",a survey on the explainability of supervised machine learning in the following sections we structure the area of explainable supervised machine learning first we describe the problem definitions and dimensions next we introduce interpretable n burkart mf huber journal of artificial intelligence research 2021 2026 07 11t12 05 22 351516 00 00 pdf downloaded machine learning 10 1613 jair 1 12228 open access,"['a', 'survey', 'on', 'the', 'explainability', 'of', 'supervised', 'machine', 'learning', 'in', 'the', 'following', 'sections', 'we', 'structure', 'the', 'area', 'of', 'explainable', 'supervised', 'machine', 'learning', 'first', 'we', 'describe', 'the', 'problem', 'definitions', 'and', 'dimensions', 'next', 'we', 'introduce', 'interpretable', 'n', 'burkart', 'mf', 'huber', 'journal', 'of', 'artificial', 'intelligence', 'research', '2021', '2026', '07', '11t12', '05', '22', '351516', '00', '00', 'pdf', 'downloaded', 'machine', 'learning', '10', '1613', 'jair', '1', '12228', 'open', 'access']","['survey', 'explainability', 'supervised', 'machine', 'learning', 'following', 'sections', 'we', 'structure', 'area', 'explainable', 'supervised', 'machine', 'learning', 'first', 'we', 'describe', 'problem', 'definitions', 'dimensions', 'next', 'we', 'introduce', 'interpretable', 'burkart', 'mf', 'huber', 'journal', 'artificial', 'intelligence', 'research', '2021', '2026', '07', '11t12', '05', '22', '351516', '00', '00', 'pdf', 'downloaded', 'machine', 'learning', '10', '1613', 'jair', '12228', 'open', 'access']","['survey', 'explainability', 'supervised', 'machine', 'learning', 'following', 'sections', 'we', 'structure', 'area', 'explainable', 'supervised', 'machine', 'learning', 'first', 'we', 'describe', 'problem', 'definitions', 'dimensions', 'next', 'we', 'introduce', 'interpretable', 'burkart', 'mf', 'huber', 'journal', 'artificial', 'intelligence', 'research', '2021', '2026', '07', '11t12', '05', '22', '351516', '00', '00', 'pdf', 'downloaded', 'machine', 'learning', '10', '1613', 'jair', '12228', 'open', 'access']",survey explainability supervised machine learning following sections we structure area explainable supervised machine learning first we describe problem definitions dimensions next we introduce interpretable burkart mf huber journal artificial intelligence research 2021 2026 07 11t12 05 22 351516 00 00 pdf downloaded machine learning 10 1613 jair 12228 open access,2026-07-11T16:46:23.070865+00:00
