category,term,total_weight,document_count
cyber security,aman,3.3805641917724096,25
cyber security,siber,3.2685134023556723,25
cyber security,cyber,3.2272290030790205,29
cyber security,security,2.426224662078697,25
cyber security,cybersecurity,0.8074562906832351,10
cyber security,digital,0.6329864786082607,9
cyber security,indonesia,0.5928966997439687,11
cyber security,era,0.513280359185399,6
cyber security,sistem,0.4584326333701549,7
cyber security,strategi,0.4422809859772503,4
machine learning,learning,3.49607393728062,50
machine learning,machine,3.4003312308695306,50
machine learning,terap,0.8810327008891067,25
machine learning,deep,0.6921340309479209,6
machine learning,prediksi,0.6028867830732114,9
machine learning,data,0.5125836107735451,12
machine learning,ml,0.45885623608134984,6
machine learning,algoritma,0.44788384326226255,9
machine learning,we,0.4307916896069493,9
machine learning,musim,0.40017912968069236,1
mobile application,mobile,3.316121052377292,50
mobile application,aplikasi,2.001780038271997,25
mobile application,apps,1.3036036450407715,17
mobile application,jkn,1.2968914186975475,8
mobile application,app,1.065000320219361,14
mobile application,guna,0.947604290687746,22
mobile application,banking,0.6588312679979655,3
mobile application,applications,0.6492021285174687,10
mobile application,user,0.48061639749857776,6
mobile application,augmented,0.4462593897465329,3
web application,web,2.955101613278672,48
web application,aplikasi,1.5781981177151854,25
web application,application,1.2223721029627233,25
web application,bas,1.2040777342410223,20
web application,website,1.0807785937265035,11
web application,applications,0.7826904228319712,14
web application,jual,0.5991601175296606,5
web application,based,0.5151490252759023,11
web application,rancang,0.44928669831381884,7
web application,bangun,0.4468912194224934,8
