id,title,abstract,authors,year,source,category,similarity_score,rank,term_frequency
159,Deep learning methods for accurate skin cancer recognition and mobile application,"… to be used in a mobile application. To be able to build an effective mobile application, it is …
for our mobile application to be able to classify skin lesions using a common smartphone. …","I Kousis, I Perikos, I Hatzilygeroudis, M Virvou",2022,Electronics,mobile application,0.47505374188230753,1,4
186,User interface design & evaluation of mobile applications,"… different mobile application designs for student projects besides the evaluation of mobile
application … of the interface design of the mobile application for student projects to solve design …",N Samrgandi,2021,International Journal of Computer Science & …,mobile application,0.4286450259122274,2,6
195,User experience analysis on mobile application design using user experience questionnaire,"… Nowadays, it is essential to use all concepts of Human-Computer Interaction to understand
mobile application design usability. This manuscript aims to analyze a mobile application …","ID Sabukunze, A Arakaza",2021,Indonesian Journal of Information …,mobile application,0.4284889823089617,3,4
176,Consumer adoption of the Uber mobile application: Insights from diffusion of innovation theory and technology acceptance model,"… Uber mobile application are … mobile application was introduced. By comparing it to the
previous methods that the users have been utilizing, the overall evaluation of mobile applications’ …","S Min, KKF So, M Jeong",2021,Future of tourism marketing,mobile application,0.42266734138040374,4,5
181,A new mobile application of agricultural pests recognition using deep learning in cloud computing system,"… mobile application to automatically classify pests using a deep-learning solution for supporting
specialists and farmers. The developed application … our developed application for on-line …","ME Karar, F Alsunaydi, S Albusaymi…",2021,Alexandria Engineering …,mobile application,0.412829970074376,5,4
191,Design and implementation of smart hydroponics farming using IoT‐Based AI controller with mobile application system,"… of mobile application integrated … mobile application, which is connected over IoT environment.
In this manner, the farmer can continuously track the status of his field using the mobile app…","SVS Ramakrishnam Raju, B Dappuri…",2022,Journal of …,mobile application,0.39370159359782425,6,4
166,Towards a new learning experience through a mobile application with augmented reality in engineering education,"… The application of augmented reality (AR) in education … effect of an augmented reality mobile
application (NetAR) that … established to work with the application for three weeks for three …","S Criollo-C, D Abad-Vásquez, M Martic-Nieto…",2021,Applied Sciences,mobile application,0.37947460182386084,7,4
197,Human monkeypox classification from skin lesion images with deep pre-trained network using mobile application,"… an Android mobile application that uses deep learning to assist this situation. The application
has … Video images gathered through the mobile device’s camera are dispatched to a deep …","VH Sahin, I Oztel, G Yolcu Oztel",2022,Journal of medical systems,mobile application,0.3526192026926345,8,4
157,The role of mobile application acceptance in shaping e-customer service,"… This study focused on examining the role of mobile application (app) … the role of mobile app
acceptance in shaping e-customer service. The multiple features associated with mobile app …","LT Khrais, AM Alghamdi",2021,Future Internet,mobile application,0.31747391667177227,9,4
192,Enhancing English vocabulary learning through mobile apps: A new paradigm in educational technology,"… This study explores the effectiveness of mobile applications … perception and usage of mobile
application patterns used in … This paper outlines a survey on preferences for mobile apps …",Z Kayra,2024,… Studies in English Language Teaching and …,mobile application,0.31458417445143605,10,4
