Query,Kategori,Rank,Judul,Penulis,Tahun,Similarity Score,Relevan
machine learning,Machine Learning,1,Machine learning and deep learning: A review of methods and applications,"K Sharifani, M Amini",2023,0.6232,Ya
machine learning,Machine Learning,2,When machine learning meets privacy: A survey and outlook,"B Liu, M Ding, S Shaham, W Rahayu…",2021,0.6099,Ya
machine learning,Machine Learning,3,Machine learning and deep learning: C. Janiesch et al.,"C Janiesch, P Zschech, K Heinrich",2021,0.5976,Ya
machine learning,Machine Learning,4,An overview of machine learning classification techniques,"AFAH Alnuaimi, THK Albaldawi",2024,0.5638,Ya
machine learning,Machine Learning,5,Machine learning foundations,T Jo,2021,0.5608,Ya
machine learning,Machine Learning,6,Scientific machine learning benchmarks,"J Thiyagalingam, M Shankar, G Fox, T Hey",2022,0.5598,Ya
machine learning,Machine Learning,7,Financial applications of machine learning: A literature review,"N Nazareth, YVR Reddy",2023,0.5578,Ya
machine learning,Machine Learning,8,Machine learning in chemical engineering: A perspective,"AM Schweidtmann, E Esche, A Fischer…",2021,0.5326,Ya
machine learning,Machine Learning,9,Machine learning and applications in microbiology,"SJ Goodswen, JLN Barratt, PJ Kennedy…",2021,0.5235,Ya
machine learning,Machine Learning,10,Using machine learning to detect misstatements,"J Bertomeu, E Cheynel, E Floyd, W Pan",2021,0.5064,Ya
deep learning,Machine Learning,1,Machine learning and deep learning: A review of methods and applications,"K Sharifani, M Amini",2023,0.739,Ya
deep learning,Machine Learning,2,Machine learning and deep learning: C. Janiesch et al.,"C Janiesch, P Zschech, K Heinrich",2021,0.7087,Ya
deep learning,Machine Learning,3,Machine learning and deep learning applications-a vision,"N Sharma, R Sharma, N Jindal",2021,0.6805,Ya
deep learning,Machine Learning,4,Machine learning in chemical engineering: A perspective,"AM Schweidtmann, E Esche, A Fischer…",2021,0.5152,Ya
deep learning,Machine Learning,5,Human monkeypox classification from skin lesion images with deep pre-trained network using mobile application,"VH Sahin, I Oztel, G Yolcu Oztel",2022,0.3417,Tidak
deep learning,Machine Learning,6,Financial applications of machine learning: A literature review,"N Nazareth, YVR Reddy",2023,0.34,Ya
deep learning,Machine Learning,7,Machine learning at the network edge: A survey,"MGS Murshed, C Murphy, D Hou, N Khan…",2021,0.2546,Ya
deep learning,Machine Learning,8,What is machine learning?,J Bell,2022,0.2382,Tidak
deep learning,Machine Learning,9,Machine learning foundations,T Jo,2021,0.2348,Ya
deep learning,Machine Learning,10,Amnesiac machine learning,"L Graves, V Nagisetty, V Ganesh",2021,0.2109,Ya
web development,Web Development,1,Accessible web development: Opportunities to improve the education and practice of web development with a screen reader,"C Ferrari, A Hurst",2021,0.5223,Ya
web development,Web Development,2,AI AND WEB DEVELOPMENT,RT Surampudi,2025,0.4932,Ya
web development,Web Development,3,The rise of disappearing frameworks in web development,"J Vepsäläinen, A Hellas, P Vuorimaa",2023,0.4866,Ya
web development,Web Development,4,Llms in web development: Evaluating llm-generated php code unveiling vulnerabilities and limitations,"R Tóth, T Bisztray, L Erdődi",2024,0.4283,Ya
web development,Web Development,5,Machine learning for web development: A fusion,"P Jain, PK Aggarwal, K Makar…",2021,0.4213,Ya
web development,Web Development,6,Cognitive disabilities and web accessibility: a survey into the Brazilian web development community,"TCPB Pichiliani, EB Pizzolato",2021,0.4188,Ya
web development,Web Development,7,Web Developer and Tech Preneurs,"S Rashid, RK Gupta",2024,0.4046,Tidak
web development,Web Development,8,Study on mvc framework for web development in php,"S Khan, AT Khanam",2023,0.4032,Ya
web development,Web Development,9,Program Pelatihan Web Development untuk Komunitas Maya,"A Sutedi, D Nursyaban, C Mutiara, D Sopiah…",2021,0.3991,Ya
web development,Web Development,10,Python for web development,"U Patkar, P Singh, H Panse, S Bhavsar…",2022,0.3962,Tidak
web application,Web Development,1,A new mobile application of agricultural pests recognition using deep learning in cloud computing system,"ME Karar, F Alsunaydi, S Albusaymi…",2021,0.3151,Ya
web application,Web Development,2,Web accessibility and web developer attitudes towards accessibility in Mozambique,"S Gupta, T Gjøsæter, GA Giannoumis",2021,0.3073,Ya
web application,Web Development,3,Deep learning methods for accurate skin cancer recognition and mobile application,"I Kousis, I Perikos, I Hatzilygeroudis, M Virvou",2022,0.2984,Tidak
web application,Web Development,4,Llms in web development: Evaluating llm-generated php code unveiling vulnerabilities and limitations,"R Tóth, T Bisztray, L Erdődi",2024,0.2934,Ya
web application,Web Development,5,Towards a new learning experience through a mobile application with augmented reality in engineering education,"S Criollo-C, D Abad-Vásquez, M Martic-Nieto…",2021,0.2896,Ya
web application,Web Development,6,An empirical study of web services topics in web developer discussions on stack overflow,"K Mahmood, G Rasool, F Sabir, A Athar",2023,0.2734,Ya
web application,Web Development,7,Responsive web design and its impact on user experience,"N Bhanarkar, A Paul, A Mehta",2023,0.2712,Ya
web application,Web Development,8,User experience analysis on mobile application design using user experience questionnaire,"ID Sabukunze, A Arakaza",2021,0.2691,Tidak
web application,Web Development,9,Cognitive disabilities and web accessibility: a survey into the Brazilian web development community,"TCPB Pichiliani, EB Pizzolato",2021,0.2625,Ya
web application,Web Development,10,Progressive web apps (PWAs): Enhancing user experience through modern web development,BR Cherukuri,2024,0.2476,Ya
cyber security,Cyber Security,1,A systematic literature review on the cyber security,"Y Perwej, SQ Abbas, JP Dixit, N Akhtar…",2021,0.8096,Ya
cyber security,Cyber Security,2,Analysis of cyber security knowledge gaps based on cyber security body of knowledge,"C Catal, A Ozcan, E Donmez, A Kasif",2023,0.6593,Ya
cyber security,Cyber Security,3,The difference between cyber security vs information security,"LA Alexei, A Alexei",2022,0.5951,Ya
cyber security,Cyber Security,4,"A comprehensive review of cyber security vulnerabilities, threats, attacks, and solutions","Ö Aslan, SS Aktuğ, M Ozkan-Okay, AA Yilmaz, E Akin",2023,0.5903,Ya
cyber security,Cyber Security,5,The role of cyber security in a digitalizing economy: a development perspective,"CI Erondu, UI Erondu",2023,0.5828,Ya
cyber security,Cyber Security,6,Defining cyber security and cyber security risk within a multidisciplinary context using expert elicitation,"MG Cains, L Flora, D Taber, Z King…",2022,0.5756,Ya
cyber security,Cyber Security,7,Evolution of the cyber security threat: an overview of the scale of cyber threat,"T Fadziso, UR Thaduri, S Dekkati…",2023,0.5468,Ya
cyber security,Cyber Security,8,Cyber resilience and cyber security issues of intelligent cloud computing systems,F Abdullayeva,2023,0.5115,Ya
cyber security,Cyber Security,9,"Uniting cyber security and machine learning: Advantages, challenges and future research","M Wazid, AK Das, V Chamola, Y Park",2022,0.4903,Ya
cyber security,Cyber Security,10,Deep reinforcement learning for cyber security,"TT Nguyen, VJ Reddi",2021,0.4846,Ya
network security,Cyber Security,1,Artificial intelligence in the cyber security environment,J Jain,2021,0.3325,Ya
network security,Cyber Security,2,"Artificial intelligence in cyber security: Research advances, challenges, and opportunities.","Z Zhang, H Ning, F Shi, F Farha, Y Xu…",2022,0.3026,Ya
network security,Cyber Security,3,A systematic literature review on the cyber security,"Y Perwej, SQ Abbas, JP Dixit, N Akhtar…",2021,0.2807,Ya
network security,Cyber Security,4,The difference between cyber security vs information security,"LA Alexei, A Alexei",2022,0.2751,Tidak
network security,Cyber Security,5,The role of cyber security in a digitalizing economy: a development perspective,"CI Erondu, UI Erondu",2023,0.2424,Ya
network security,Cyber Security,6,Analysis of cyber security knowledge gaps based on cyber security body of knowledge,"C Catal, A Ozcan, E Donmez, A Kasif",2023,0.2286,Ya
network security,Cyber Security,7,"Cyber security techniques, architectures, and design","S Rani, A Kataria, M Chauhan",2022,0.2167,Tidak
