Kategori,Judul Artikel,Jumlah Kemunculan
Machine Learning,Machine learning and deep learning: A review of methods and applications,2
Machine Learning,Machine learning and deep learning: C. Janiesch et al.,2
Machine Learning,Machine learning foundations,2
Web Development,Llms in web development: Evaluating llm-generated php code unveiling vulnerabilities and limitations,2
Web Development,Cognitive disabilities and web accessibility: a survey into the Brazilian web development community,2
Web Development,Accessible web development: Opportunities to improve the education and practice of web development with a screen reader,1
Cyber Security,A systematic literature review on the cyber security,3
Cyber Security,Analysis of cyber security knowledge gaps based on cyber security body of knowledge,3
Cyber Security,The difference between cyber security vs information security,3
Mobile Application,Deep learning methods for accurate skin cancer recognition and mobile application,2
Mobile Application,User interface design & evaluation of mobile applications,2
Mobile Application,User experience analysis on mobile application design using user experience questionnaire,2
