id,title,abstract,authors,year,source,category,cleaned_text
1,Machine learning for microbiologists,"… how to evaluate a machine learning model and how … machine learning-based work. The
topics presented in this work will allow microbiologists to grasp the potential of machine learning …","F Asnicar, AM Thomas, A Passerini…",2024,Nature Reviews …,machine learning,machine learning for microbiologists how to evaluate machine learning model and how machine learningbased work the topics presented in this work will allow microbiologists to grasp the potential of machine learning
2,International conference on machine learning,"In this paper, we make the key delineation on the roles of resolution and statistical uncertainty
in hierarchical bandits-based black-box optimization algorithms, guiding a more general …","W Li, C Wang, G Cheng, Q Song",2023,Transactions on machine learning …,machine learning,international conference on machine learning in this paper we make the key delineation on the roles of resolution and statistical uncertainty in hierarchical banditsbased blackbox optimization algorithms guiding more general
3,What is machine learning?,"… that one can employ in machine learning (ML). The required … of two learning types: supervised
or unsupervised learning. … skills through either automated learning or learning via human …",J Bell,2022,Machine learning and the city: applications in …,machine learning,what is machine learning that one can employ in machine learning ml the required of two learning types supervised or unsupervised learning skills through either automated learning or learning via human
4,Amnesiac machine learning,"… It gives EU residents the ability to request deletion of their personal data, including training
records used to train machine learning models. Unfortunately, Deep Neural Network models …","L Graves, V Nagisetty, V Ganesh",2021,… of the AAAI conference on artificial …,machine learning,amnesiac machine learning it gives eu residents the ability to request deletion of their personal data including training records used to train machine learning models unfortunately deep neural network models
5,Designing nanotheranostics with machine learning,"… As a key branch of artificial intelligence, machine learning (ML) provides a set of tools
capable of performing time-consuming and result-perception tasks, thus offering unique …","L Rao, Y Yuan, X Shen, G Yu, X Chen",2024,Nature Nanotechnology,machine learning,designing nanotheranostics with machine learning as key branch of artificial intelligence machine learning ml provides set of tools capable of performing timeconsuming and resultperception tasks thus offering unique
6,A guide to machine learning for biologists,"… A machine learning task is an objective specification for what we want a machine learning
model to accomplish. For example, for an experiment investigating the expression of genes …","JG Greener, SM Kandathil, L Moffat…",2022,Nature reviews Molecular …,machine learning,guide to machine learning for biologists machine learning task is an objective specification for what we want machine learning model to accomplish for example for an experiment investigating the expression of genes
7,Machine learning and deep learning: C. Janiesch et al.,"… Deep learning is a machine learning concept based on … , deep learning models outperform
shallow machine learning … fundamentals of machine learning and deep learning to generate …","C Janiesch, P Zschech, K Heinrich",2021,Electronic markets,machine learning,machine learning and deep learning janiesch et al deep learning is machine learning concept based on deep learning models outperform shallow machine learning fundamentals of machine learning and deep learning to generate
8,Machine learning foundations,"… knowledge about machine learning by exploring learning theories, … of machine learning
algorithms: the supervised, the unsupervised, the reinforced, and the semi-supervised learning. …",T Jo,2021,"Supervised, Unsupervised, and Advanced Learning …",machine learning,machine learning foundations knowledge about machine learning by exploring learning theories of machine learning algorithms the supervised the unsupervised the reinforced and the semisupervised learning
9,Financial machine learning,"… We survey the nascent literature on machine learning in the study of financial markets. We
… in grasping machine learning tools, as well as for statisticians and machine learners seeking …","B Kelly, D Xiu",2023,Foundations and Trends® in Finance,machine learning,financial machine learning we survey the nascent literature on machine learning in the study of financial markets we in grasping machine learning tools as well as for statisticians and machine learners seeking
10,Open-environment machine learning,"… open learning or open ML for short. Note that the name ‘open-world machine learning’ was
used to refer to machine learning with unseen class [1] or outof-distribution (OOD) data [2]. In …",ZH Zhou,2022,National Science Review,machine learning,openenvironment machine learning open learning or open ml for short note that the name openworld machine learning was used to refer to machine learning with unseen class or outofdistribution ood data in
11,Using machine learning to detect misstatements,"… Intuitively, a machine learning algorithm can be taught to … Machine learning algorithms
capture the relationship … We also examine a number of alternative machine learning approaches …","J Bertomeu, E Cheynel, E Floyd, W Pan",2021,Review of Accounting Studies,machine learning,using machine learning to detect misstatements intuitively machine learning algorithm can be taught to machine learning algorithms capture the relationship we also examine number of alternative machine learning approaches
12,A survey on the explainability of supervised machine learning,"… In the following sections, we structure the area of explainable supervised machine learning.
First, we describe the problem definitions and dimensions. Next, we introduce interpretable …","N Burkart, MF Huber",2021,Journal of Artificial Intelligence Research,machine learning,survey on the explainability of supervised machine learning in the following sections we structure the area of explainable supervised machine learning first we describe the problem definitions and dimensions next we introduce interpretable
13,Challenges in deploying machine learning: a survey of case studies,"… This survey reviews published reports of deploying machine learning … of the machine
learning deployment workflow. By mapping found challenges to the steps of the machine learning …","A Paleyes, RG Urma, ND Lawrence",2022,ACM computing surveys,machine learning,challenges in deploying machine learning survey of case studies this survey reviews published reports of deploying machine learning of the machine learning deployment workflow by mapping found challenges to the steps of the machine learning
14,"Machine learning operations (mlops): Overview, definition, and architecture","… ABSTRACT The final goal of all industrial machine learning (ML) projects is to develop
ML … The paradigm of Machine Learning Operations (MLOps) addresses this issue. MLOps …","D Kreuzberger, N Kühl, S Hirschl",2023,IEEE access,machine learning,machine learning operations mlops overview definition and architecture abstract the final goal of all industrial machine learning ml projects is to develop ml the paradigm of machine learning operations mlops addresses this issue mlops
15,A survey on dataset quality in machine learning,"… of dataset quality in machine learning, including the definition of … of machine learning,
which can help improve the accuracy, efficiency, and generalization ability of machine learning …","Y Gong, G Liu, Y Xue, R Li, L Meng",2023,Information and Software Technology,machine learning,survey on dataset quality in machine learning of dataset quality in machine learning including the definition of of machine learning which can help improve the accuracy efficiency and generalization ability of machine learning
16,A review of the application of machine learning in water quality evaluation,"… Additionally, machine learning can provide solutions for water … In this review, we describe
the cases in which machine learning … of machine learning approaches to water environments. …","M Zhu, J Wang, X Yang, Y Zhang, L Zhang…",2022,Eco-Environment & …,machine learning,review of the application of machine learning in water quality evaluation additionally machine learning can provide solutions for water in this review we describe the cases in which machine learning of machine learning approaches to water environments
17,Agricultural databases evaluation with machine learning procedure,"… machine learning techniques to agricultural databases. W e have designed and implemented
a machine learning … dataset using a variety of machine learning schemes, and has several …","M Amini, A Rahmani",2023,… Journal of Engineering and Applied Science,machine learning,agricultural databases evaluation with machine learning procedure machine learning techniques to agricultural databases have designed and implemented machine learning dataset using variety of machine learning schemes and has several
18,An overview of machine learning classification techniques,"… statistical learning and pattern recognition, machine learning now … between statistics and
machine learning is evident, with … core of machine learning lies the concept of self-learning, a …","AFAH Alnuaimi, THK Albaldawi",2024,BIO Web of Conferences,machine learning,an overview of machine learning classification techniques statistical learning and pattern recognition machine learning now between statistics and machine learning is evident with core of machine learning lies the concept of selflearning
19,A systematic review of teaching and learning machine learning in K-12 education,"… from being a contribution to the field of machine learning education as it systematically
synthesizes research conducted on teaching and learning machine learning at K-12 levels. The …","IT Sanusi, SS Oyelere, H Vartiainen, J Suhonen…",2023,Education and …,machine learning,systematic review of teaching and learning machine learning in education from being contribution to the field of machine learning education as it systematically synthesizes research conducted on teaching and learning machine learning at levels the
20,A survey of human-in-the-loop for machine learning,"… posed by machine learning … machine learning. Human-in-the-loop is an area that we see
as increasingly important in future research due to the knowledge learned by machine learning …","X Wu, L Xiao, Y Sun, J Zhang, T Ma, L He",2022,Future Generation Computer …,machine learning,survey of humanintheloop for machine learning posed by machine learning machine learning humanintheloop is an area that we see as increasingly important in future research due to the knowledge learned by machine learning
