id,title
1,Machine learning for microbiologists
2,International conference on machine learning
3,What is machine learning?
4,Amnesiac machine learning
5,Designing nanotheranostics with machine learning
6,A guide to machine learning for biologists
7,Machine learning and deep learning: C. Janiesch et al.
8,Machine learning foundations
9,Financial machine learning
10,Open-environment machine learning
11,Using machine learning to detect misstatements
12,A survey on the explainability of supervised machine learning
13,Challenges in deploying machine learning: a survey of case studies
14,"Machine learning operations (mlops): Overview, definition, and architecture"
15,A survey on dataset quality in machine learning
16,A review of the application of machine learning in water quality evaluation
17,Agricultural databases evaluation with machine learning procedure
18,An overview of machine learning classification techniques
19,A systematic review of teaching and learning machine learning in K-12 education
20,A survey of human-in-the-loop for machine learning
21,Machine learning for alloys
22,Machine learning in economics and finance
23,Machine learning and applications in microbiology
24,OMLT: Optimization & machine learning toolkit
25,Machine learning in chemical engineering: A perspective
26,Human-in-the-loop machine learning: a state of the art
27,Causality for machine learning
28,Machine learning: new ideas and tools in environmental science and engineering
29,Scope of machine learning in materials research—A review
30,Machine learning for biochemical engineering: A review
31,Participation is not a design fix for machine learning
32,Machine learning for a sustainable energy future
33,Understanding from machine learning models
34,Machine learning at the network edge: A survey
35,Financial applications of machine learning: A literature review
36,Machine learning for chemical reactions
37,The role of machine learning algorithms for diagnosing diseases
38,Scientific machine learning benchmarks
39,When machine learning meets privacy: A survey and outlook
40,Machine learning and deep learning: A review of methods and applications
41,"Machine learning: Algorithms, real-world applications and research directions"
42,Applying machine learning to study fluid mechanics
43,Machine learning and deep learning applications-a vision
44,Tackling climate change with machine learning
45,Machine learning algorithms for social media analysis: A survey
46,Machine Learning for industrial applications: A comprehensive literature review
47,Evolutionary machine learning: A survey
48,Machine learning in manufacturing and industry 4.0 applications
49,Enhancing computational fluid dynamics with machine learning
50,Machine learning in environmental research: common pitfalls and best practices
51,An empirical study of web services topics in web developer discussions on stack overflow
52,Educational content of modern web developer training
53,Web Developer and Tech Preneurs
54,Accessible web development: Opportunities to improve the education and practice of web development with a screen reader
55,Chatgpt as a full-stack web developer
56,Jsanalyzer: A web developer tool for simplifying mobile web pages through non-critical javascript elimination
57,Pembahasan Mengenai Front-End Web Developer dalam Ruang Lingkup Web Development
58,Chatgpt as a fullstack web developer-early results
59,Python for web development
60,AI-Assisted Code Generation and Optimization in. NET Web Development
61,Evaluating chatgpt: Generative ai in ux design and web development pedagogy
62,Codea11y: Making ai coding assistants useful for accessible web development
63,"Web design and trust as moderators in the relationship between e-service quality, customer satisfaction and customer loyalty"
64,"Building e-trust and e-retention in online shopping: the role of website design, reliability and perceived ease of use"
65,DesignChecker: Visual design support for blind and low vision web developers
66,Llms in web development: Evaluating llm-generated php code unveiling vulnerabilities and limitations
67,Web accessibility and web developer attitudes towards accessibility in Mozambique
68,Impact of shopping website design on customer satisfaction and loyalty: The mediating role of usability and the moderating role of trust
69,JavaScript for Web Developers
70,The rise of disappearing frameworks in web development
71,Machine learning for web development: A fusion
72,Review on study and usage of mern stack for web development
167,Augmented reality advertising via a mobile app
73,The role of APIs in modern web development: Enhancing system integrations
74,Evolution of popularity and multiaspectual comparison of widely used web development frameworks
75,Development of Gamification-Based E-Learning on Web Design Topic.
76,Sketch2code: Evaluating vision-language models for interactive web design prototyping
77,Web development system project report
78,A Study on a Project-based Blockchain Web Developer Education Model Customized for Companies
79,Getting started modern web development with next. js: an indispensable react framework
80,Responsive web design and its impact on user experience
81,Conversations with deviant website developers: A case study of online shopping fraud enablers
82,Cognitive and affective effects of teachers' annotations and talking heads on asynchronous video lectures in a web development course
83,Program Pelatihan Web Development untuk Komunitas Maya
84,Analyzing the impact of visual elements in website design on user experience and interaction
85,Comparative analysis of chatbots using large language models for web development tasks
86,AI AND WEB DEVELOPMENT
87,"Exploring the website object layout of responsive web design: results of eye tracking evaluations: JC Hung, C.-C. Wang"
88,Demonstrating and negotiating the adoption of web design technologies: Cascading Style Sheets and the CSS Zen Garden
89,Impact of website design features on experiential value and patronage intention toward online mass customization sites
90,Study on mvc framework for web development in php
91,Progressive web apps (PWAs): Enhancing user experience through modern web development
92,“Tom had us all doing front-end web development”: a nostalgic (re) imagining of Myspace
93,A comparative analysis of component-based architectures in web design for scalable applications
94,Current web development technologies: a comparative review
95,Rancang bangun game 3D edukasi basic web development menggunakan Unity 3D
96,Analyzing the impact of search engine optimization techniques on web development using experiential and collaborative learning techniques
97,Cognitive disabilities and web accessibility: a survey into the Brazilian web development community
98,"Tangible progress: Tools, techniques, and impacts of teaching web development to screen reader users"
99,Web Design Focusing on Users Viewing Experience with Respect to Static and Dynamic Nature of Web Sites
100,Automated front-end code generation using OpenAI: empowering web development efficiency
101,The recent trends in cyber security: A review
102,"Cyber security: State of the art, challenges and future directions"
103,"Cyber security, cyber threats, implications and future perspectives: A Review"
104,A comprehensive review study of cyber-attacks and cyber security; Emerging trends and recent developments
105,Cyber security
106,A systematic literature review on the cyber security
107,Cyber security in the metaverse
108,Counterattacking cyber threats: A framework for the future of cybersecurity
109,Cyber governance studies in ensuring cybersecurity: an overview of cybersecurity governance
110,Cyber security in the age of COVID-19: A timeline and analysis of cyber-crime and cyber-attacks during the pandemic
111,Analysis of cyber security knowledge gaps based on cyber security body of knowledge
112,LLMs for cyber security: New opportunities
113,Cybersecurity of industrial cyber-physical systems: A review
114,"Artificial intelligence in cyber security: Research advances, challenges, and opportunities."
115,Cyber security: New realities for industry 4.0 and society 5.0
116,Deep reinforcement learning for cyber security
117,The role of user behaviour in improving cyber security management
118,Cyber security in New Space: M. Manulis et al.
